,sum,mean,var,std,median,q1,q3,n,firstRank,lastRank,minStudentRank,maxStudentRank,requested,track,optionalCorrectedRankSum,lastMandatoryOptionalRank,optionalCorrectedQ1,optionalCorrectedMedian,optionalCorrectedQ3,optionalCorrectedMean,optionalCorrectedVar,optionalCorrectedStd,rankedVSrequested,maxRankDistance,minRankDistance,correctedMaxRankDistance,IQR,optionalCorrectedIQR
22,36.5,4.5625,5.08984375,2.2560682059725057,3.75,2.5,6.25,8,2.5,8.5,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,9.5,0.0,11.0,3.75,3.0
23,37.0,4.625,5.609375,2.368411915187052,3.75,2.5,6.25,8,2.5,9.0,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,9.0,0.0,11.0,3.75,3.0
24,48.0,5.333333333333333,8.666666666666666,2.943920288775949,5.0,3.0,9.0,9,1.0,9.0,1.0,17.5,9,CS_track,30.0,9.0,2.5,4.0,5.5,4.285714285714286,6.204081632653065,2.490799396308957,0,8.5,0.0,8.5,6.0,3.0
25,38.5,5.5,10.428571428571429,3.2293298729878046,6.0,2.0,8.5,7,2.0,9.5,2.0,18.0,7,CS_track,38.5,9.5,2.0,6.0,8.5,5.5,10.42857142857143,3.2293298729878046,0,8.5,0.0,8.5,6.5,6.5
26,28.0,4.0,3.2142857142857144,1.7928429140015905,2.5,2.5,5.75,7,2.5,6.5,2.5,18.0,3,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,11.5,0.0,11.5,3.25,3.25
27,28.5,4.071428571428571,4.387755102040816,2.0946968998021687,4.5,2.5,5.25,7,1.0,7.5,1.0,18.0,7,CS_track,28.5,7.5,2.5,4.5,5.25,4.071428571428571,4.3877551020408205,2.0946968998021696,0,10.5,0.0,10.5,2.75,2.75
28,28.0,4.0,2.5714285714285716,1.6035674514745464,4.0,4.0,4.0,7,1.0,7.0,1.0,17.5,7,CS_track,28.0,7.0,4.0,4.0,4.0,4.0,2.571428571428573,1.6035674514745468,0,10.5,0.0,10.5,0.0,0.0
29,30.0,4.285714285714286,4.846938775510204,2.2015764296317775,2.5,2.5,6.25,7,2.5,7.5,2.5,18.0,3,AI_track,30.0,7.5,2.5,2.5,6.25,4.285714285714286,4.846938775510207,2.201576429631778,0,10.5,0.0,10.5,3.75,3.75
30,47.5,5.277777777777778,8.895061728395063,2.9824590069932335,5.0,2.5,7.5,9,2.5,11.5,2.5,18.0,5,AI_track,28.5,7.5,2.5,2.5,5.5,4.071428571428571,3.744897959183678,1.9351738834491536,0,6.5,0.0,10.5,5.0,3.0
31,46.5,5.166666666666667,6.944444444444445,2.6352313834736494,5.0,2.5,8.5,9,2.5,8.5,2.5,18.0,5,AI_track,29.5,8.5,2.5,2.5,5.5,4.214285714285714,4.846938775510203,2.201576429631777,0,9.5,0.0,9.5,6.0,3.0
